review_id,user_id,movie_id,rating,comment
1,25,12,2,Review 1 for Movie12
2,22,33,2,Review 2 for Movie33
3,44,3,5,Review 3 for Movie3
4,39,8,3,Review 4 for Movie8
5,44,3,1,Review 5 for Movie3
6,8,28,5,Review 6 for Movie28
7,21,30,2,Review 7 for Movie30
8,31,31,2,Review 8 for Movie31
9,39,2,1,Review 9 for Movie2
10,17,24,4,Review 10 for Movie24
11,11,39,2,Review 11 for Movie39
12,46,12,4,Review 12 for Movie12
13,40,26,1,Review 13 for Movie26
14,12,22,5,Review 14 for Movie22
15,21,28,2,Review 15 for Movie28
16,41,35,4,Review 16 for Movie35
17,49,40,4,Review 17 for Movie40
18,29,31,3,Review 18 for Movie31
19,35,3,5,Review 19 for Movie3
20,8,12,1,Review 20 for Movie12
21,19,9,3,Review 21 for Movie9
22,1,17,5,Review 22 for Movie17
23,13,40,1,Review 23 for Movie40
24,1,39,5,Review 24 for Movie39
25,28,19,4,Review 25 for Movie19
26,32,36,3,Review 26 for Movie36
27,36,33,2,Review 27 for Movie33
28,36,29,2,Review 28 for Movie29
29,47,13,2,Review 29 for Movie13
30,9,36,4,Review 30 for Movie36
31,46,1,4,Review 31 for Movie1
32,35,14,3,Review 32 for Movie14
33,47,10,3,Review 33 for Movie10
34,48,5,4,Review 34 for Movie5
35,25,25,4,Review 35 for Movie25
36,15,4,3,Review 36 for Movie4
37,29,34,2,Review 37 for Movie34
38,33,14,3,Review 38 for Movie14
39,37,30,1,Review 39 for Movie30
40,3,31,2,Review 40 for Movie31
41,41,3,2,Review 41 for Movie3
42,23,10,4,Review 42 for Movie10
43,50,17,1,Review 43 for Movie17
44,13,11,1,Review 44 for Movie11
45,26,15,1,Review 45 for Movie15
46,45,15,4,Review 46 for Movie15
47,19,36,1,Review 47 for Movie36
48,41,26,3,Review 48 for Movie26
49,35,31,3,Review 49 for Movie31
50,33,13,1,Review 50 for Movie13
51,32,28,2,Review 51 for Movie28
52,39,37,1,Review 52 for Movie37
53,33,24,4,Review 53 for Movie24
54,47,25,4,Review 54 for Movie25
55,38,27,5,Review 55 for Movie27
56,9,31,3,Review 56 for Movie31
57,1,2,2,Review 57 for Movie2
58,17,14,2,Review 58 for Movie14
59,4,31,2,Review 59 for Movie31
60,40,2,4,Review 60 for Movie2
61,15,22,3,Review 61 for Movie22
62,46,15,5,Review 62 for Movie15
63,14,27,5,Review 63 for Movie27
64,25,3,4,Review 64 for Movie3
65,18,20,5,Review 65 for Movie20
66,45,24,4,Review 66 for Movie24
67,32,19,5,Review 67 for Movie19
68,47,15,5,Review 68 for Movie15
69,12,28,2,Review 69 for Movie28
70,10,27,1,Review 70 for Movie27
71,9,19,4,Review 71 for Movie19
72,39,5,1,Review 72 for Movie5
73,23,9,3,Review 73 for Movie9
74,15,16,4,Review 74 for Movie16
75,14,22,4,Review 75 for Movie22
76,12,5,3,Review 76 for Movie5
77,24,9,1,Review 77 for Movie9
78,6,13,2,Review 78 for Movie13
79,44,1,5,Review 79 for Movie1
80,39,13,1,Review 80 for Movie13
81,3,24,3,Review 81 for Movie24
82,3,11,5,Review 82 for Movie11
83,21,17,2,Review 83 for Movie17
84,3,18,3,Review 84 for Movie18
85,9,38,3,Review 85 for Movie38
86,19,15,5,Review 86 for Movie15
87,38,34,4,Review 87 for Movie34
88,1,9,2,Review 88 for Movie9
89,30,12,2,Review 89 for Movie12
90,29,1,3,Review 90 for Movie1
91,48,2,3,Review 91 for Movie2
92,38,31,1,Review 92 for Movie31
93,48,32,2,Review 93 for Movie32
94,39,39,3,Review 94 for Movie39
95,32,24,1,Review 95 for Movie24
96,39,15,5,Review 96 for Movie15
97,14,1,3,Review 97 for Movie1
98,40,38,2,Review 98 for Movie38
99,8,11,2,Review 99 for Movie11
100,20,15,4,Review 100 for Movie15
